construct,method,baseline_type,split,decoupling_axis,layer,n,accuracy,mean_signed_projection,signed_projection_se
sentiment,direction,shuffled_label_direction,decoupling,quotation,5,12,0.5833333333333334,0.10403479884068172,0.6266646085626499
sentiment,direction,shuffled_label_direction,decoupling,quotation,6,12,0.5,0.09588021536668141,0.7158324046172102
sentiment,direction,shuffled_label_direction,decoupling,quotation,7,12,0.5,0.35724496344725293,0.9107528527518742
sentiment,direction,shuffled_label_direction,decoupling,quotation,8,12,0.6666666666666666,0.773402581612269,1.4702457808032101
sentiment,direction,shuffled_label_direction,decoupling,quotation,9,12,0.5833333333333334,1.5410920878251393,2.9625239678625603
sentiment,direction,shuffled_label_direction,decoupling,quotation,10,12,0.5,1.4747152129809062,4.39508757543899
sentiment,direction,shuffled_label_direction,decoupling,quotation,11,12,0.5,0.7966235876083374,5.659290768000343
sentiment,direction,direction,decoupling,contrast,0,12,0.5,-0.23325209816296896,0.49933130687029303
sentiment,direction,direction,decoupling,contrast,1,12,0.5,-0.33136210838953656,0.668035371614168
sentiment,direction,direction,decoupling,contrast,2,12,0.4166666666666667,-0.3018782113989194,0.31671444142879596
sentiment,direction,direction,decoupling,contrast,3,12,0.16666666666666666,-0.5958677691717943,0.29985737257305883
sentiment,direction,direction,decoupling,contrast,4,12,0.3333333333333333,-1.038564162949721,0.7329213140140329
sentiment,direction,direction,decoupling,contrast,5,12,0.3333333333333333,-1.392126888036728,0.901106846472088
sentiment,direction,direction,decoupling,contrast,6,12,0.16666666666666666,-2.1443167130152383,0.9401618769714762
sentiment,direction,direction,decoupling,contrast,7,12,0.3333333333333333,-2.404656618833542,1.553586030753095
sentiment,direction,direction,decoupling,contrast,8,12,0.3333333333333333,-2.7686455150445304,1.9443753776223076
sentiment,direction,direction,decoupling,contrast,9,12,0.3333333333333333,-2.6197917188207307,2.7983907390959355
sentiment,direction,direction,decoupling,contrast,10,12,0.25,-2.8086546758810678,3.0319998764336136
sentiment,direction,direction,decoupling,contrast,11,12,0.5833333333333334,-1.6457494894663494,4.475890777213363
sentiment,direction,random_direction,decoupling,contrast,0,12,0.6666666666666666,0.04605552485477791,0.06510074627887873
sentiment,direction,random_direction,decoupling,contrast,1,12,0.3333333333333333,-0.05035150232491722,0.07788579942320566
sentiment,direction,random_direction,decoupling,contrast,2,12,0.5,-0.1254838669202619,0.19392708027477695
sentiment,direction,random_direction,decoupling,contrast,3,12,0.5,-0.004750578620001038,0.299966406309491
sentiment,direction,random_direction,decoupling,contrast,4,12,0.5,0.06704312593262811,0.34141542153116233
sentiment,direction,random_direction,decoupling,contrast,5,12,0.5,0.02151901978101119,0.7031730429915141
sentiment,direction,random_direction,decoupling,contrast,6,12,0.4166666666666667,-0.4822838436731605,0.6094318732584787
sentiment,direction,random_direction,decoupling,contrast,7,12,0.5,-0.04148625967633279,0.48801269023931504
sentiment,direction,random_direction,decoupling,contrast,8,12,0.6666666666666666,0.18339816767517347,0.5771161194966146
sentiment,direction,random_direction,decoupling,contrast,9,12,0.75,1.7106976138829466,0.6533924735567835
sentiment,direction,random_direction,decoupling,contrast,10,12,0.4166666666666667,-0.5998101659406636,0.8030568738905217
sentiment,direction,random_direction,decoupling,contrast,11,12,0.3333333333333333,-0.8195142988130044,0.8477554785907002
sentiment,direction,shuffled_label_direction,decoupling,contrast,0,12,0.5,0.05042825142542521,0.2871331766697551
sentiment,direction,shuffled_label_direction,decoupling,contrast,1,12,0.6666666666666666,0.14898190895716348,0.17948343773625933
sentiment,direction,shuffled_label_direction,decoupling,contrast,2,12,0.6666666666666666,0.27747059365113574,0.2243451382912294
sentiment,direction,shuffled_label_direction,decoupling,contrast,3,12,0.5,0.05479325850804647,0.44477440039962485
sentiment,direction,shuffled_label_direction,decoupling,contrast,4,12,0.4166666666666667,0.08565358072519302,0.2992749281567185
sentiment,direction,shuffled_label_direction,decoupling,contrast,5,12,0.6666666666666666,0.33368685096502304,0.21204330248701922
sentiment,direction,shuffled_label_direction,decoupling,contrast,6,12,0.6666666666666666,0.4608742967247963,0.22234964916648045
sentiment,direction,shuffled_label_direction,decoupling,contrast,7,12,0.5,0.6456905578573545,0.6741107977373659
sentiment,direction,shuffled_label_direction,decoupling,contrast,8,12,0.5833333333333334,1.2668193876743317,1.3990893109015723
sentiment,direction,shuffled_label_direction,decoupling,contrast,9,12,0.6666666666666666,2.6351524790128074,2.1046548211513563
sentiment,direction,shuffled_label_direction,decoupling,contrast,10,12,0.5,2.4370843966801963,2.7715666070844547
sentiment,direction,shuffled_label_direction,decoupling,contrast,11,12,0.5833333333333334,4.179946303367615,5.461185100031892
sentiment,direction,direction,decoupling,format_shift,0,12,0.5833333333333334,0.042737441758314766,0.08601322690413178
sentiment,direction,direction,decoupling,format_shift,1,12,0.5,0.07928026715914409,0.2240471307246119
sentiment,direction,direction,decoupling,format_shift,2,12,0.5,0.01955384264389674,0.11436529376312307
sentiment,direction,direction,decoupling,format_shift,3,12,0.5833333333333334,0.1065419465303421,0.33305324061213043
sentiment,direction,direction,decoupling,format_shift,4,12,0.5,0.10030946880578995,0.5417635537084358
sentiment,direction,direction,decoupling,format_shift,5,12,0.5833333333333334,0.09990250319242477,0.49221165551690993
sentiment,direction,direction,decoupling,format_shift,6,12,0.5,0.3598451366027196,0.6056340169938039
sentiment,direction,direction,decoupling,format_shift,7,12,0.5,0.4517888476451238,0.9442738566386566
sentiment,direction,direction,decoupling,format_shift,8,12,0.5833333333333334,1.0618622601032257,2.7594804211255197
sentiment,direction,direction,decoupling,format_shift,9,12,0.5,1.1672960817813873,4.442453446119565
sentiment,direction,direction,decoupling,format_shift,10,12,0.5,1.8742914895216625,3.8176926259339647
sentiment,direction,direction,decoupling,format_shift,11,12,0.5,0.868821938832601,6.64941410244078
sentiment,direction,random_direction,decoupling,format_shift,0,12,0.5,-0.016602878651211683,0.23811663103162467
sentiment,direction,random_direction,decoupling,format_shift,1,12,0.5,0.0027928120818193347,0.14205431257412432
sentiment,direction,random_direction,decoupling,format_shift,2,12,0.5,-0.019419488884208896,0.35773061207963414
sentiment,direction,random_direction,decoupling,format_shift,3,12,0.5,-0.02549885682761427,0.3066202301546781
sentiment,direction,random_direction,decoupling,format_shift,4,12,0.5,-0.12333439278526032,0.891409343046037
sentiment,direction,random_direction,decoupling,format_shift,5,12,0.4166666666666667,-0.019208344714330677,0.27937338914778487
sentiment,direction,random_direction,decoupling,format_shift,6,12,0.5,0.037785476188761415,1.2678893293407547
sentiment,direction,random_direction,decoupling,format_shift,7,12,0.5833333333333334,0.1398615882588682,0.43581931119986433
sentiment,direction,random_direction,decoupling,format_shift,8,12,0.5,0.25454259209754354,0.8036769099307003
sentiment,direction,random_direction,decoupling,format_shift,9,12,0.5833333333333334,0.0015844410621396372,0.49747599496384587
sentiment,direction,random_direction,decoupling,format_shift,10,12,0.5,0.24175908727887127,0.5527861997533845
sentiment,direction,random_direction,decoupling,format_shift,11,12,0.5833333333333334,0.03261850749313733,1.9376040606206704
sentiment,direction,shuffled_label_direction,decoupling,format_shift,0,12,0.5,-0.014653563499450684,1.6032593387817957
sentiment,direction,shuffled_label_direction,decoupling,format_shift,1,12,0.5,-0.02200194199879964,1.6008397834546695
sentiment,direction,shuffled_label_direction,decoupling,format_shift,2,12,0.5,-0.034923434257507324,1.6192887201766837
sentiment,direction,shuffled_label_direction,decoupling,format_shift,3,12,0.5,0.02410908540089925,0.8837136837642543
sentiment,direction,shuffled_label_direction,decoupling,format_shift,4,12,0.5,0.07265481352806091,0.9173040523267969
sentiment,direction,shuffled_label_direction,decoupling,format_shift,5,12,0.5,-0.019716938336690266,1.4134931399157245
sentiment,direction,shuffled_label_direction,decoupling,format_shift,6,12,0.5,-0.05203647414843241,1.3225942334901688
sentiment,direction,shuffled_label_direction,decoupling,format_shift,7,12,0.5,-0.1167717178662618,1.261223137448249
sentiment,direction,shuffled_label_direction,decoupling,format_shift,8,12,0.5,-0.22406340142091116,0.9628331710777671
sentiment,direction,shuffled_label_direction,decoupling,format_shift,9,12,0.5,0.03451430797576904,2.2047826871006504
sentiment,direction,shuffled_label_direction,decoupling,format_shift,10,12,0.5,0.4245859682559967,5.711785247034283
sentiment,direction,shuffled_label_direction,decoupling,format_shift,11,12,0.5,-0.11047041416168213,4.804640314179695
